16919-58-7	16919-58-7Did not work
7803-55-6	N.O[V](=O)=O
57-43-2	CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
86-42-0	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
300-62-9	CC(N)Cc1ccccc1
1397-89-3	C[C@H]1O[C@@H](O[C@@H]\2C[C@@H]3O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)\C=C/C=C\C=C/C=C\C=C/C=C\C=C2)C[C@H](O)[C@H]3C(O)=O)[C@@H](O)[C@@H](N)[C@@H]1O
18654-18-7	OC(=O)c1c(O)cccc1CCCCCCC\C=C\C\C=C\CC=C
94421-68-8	CCCCC/C=C\C\C=C/C/C=C\C\C=C/CCCC(=O)NCCO
5508-58-7	CC1(CO)C(O)CC[C@@]2(C)[C@H](C\C=C3/C(O)COC3=O)C(=C)CCC12
63-05-8	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O
104-46-1	COc1ccc(\C=C\C)cc1
532-11-6	COc1ccc(cc1)C2=CC(=S)SS2
523-50-2	O=C1Oc2c(C=C1)ccc3occc23
62-53-3	Nc1ccccc1
22862-76-6	COc1ccc(C[C@@H]2NC[C@@H](O)[C@@H]2OC(C)=O)cc1
120-12-7	c1ccc2cc3ccccc3cc2c1
480-22-8	Oc1cccc2cc3cccc(O)c3c(O)c12
642-15-9	CCCCCCC1C(OC(=O)CC(C)C)C(C)OC(=O)C(NC(=O)c2cccc(NC=O)c2O)C(C)OC1=O
63-75-2	COC(=O)C1=CCCN(C)C1
313-67-7	COc1cccc2c1cc(c3c(cc4OCOc4c23)C(O)=O)[N+]([O-])=O
465-00-9	CC1(C)CC[C@@]2(CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O
